sample,node,distance,label
1,node1,16.78,1
2,node1,353.62,0
3,node1,3.59,0
4,node1,156.26,0
5,node1,121.84,0
6,node1,87.46,0
7,node1,57.12,0
8,node1,87.01,0
9,node1,225.11,0
10,node1,71.14,0
11,node1,9.74,0
12,node1,9.08,0
13,node1,87.7,0
14,node1,3.59,0
15,node1,27.03,1
16,node1,18.1,1
17,node1,30.96,1
18,node1,222.56,0
19,node1,271.93,0
20,node1,269.96,0
21,node1,272.48,0
22,node1,223.58,0
23,node1,25.55,1
24,node1,3.59,0
25,node1,8.07,0
26,node1,36.47,1
27,node1,5.18,0
28,node1,3.28,0
29,node1,3.59,0
30,node1,277.27,0
31,node1,25.87,1
32,node1,22.93,1
33,node1,19.72,1
34,node1,22.93,1
35,node1,16.8,1
36,node1,22.63,1
37,node1,17.46,1
38,node1,32.56,1
39,node1,23.8,1
40,node1,16.8,1
41,node1,15.49,1
42,node1,15.49,1
43,node1,15.47,1
44,node1,22.92,1
45,node1,57.15,0
46,node1,37.62,1
47,node1,36.96,1
48,node1,36.24,1
49,node1,31.5,1
50,node1,276.91,0
51,node1,277.3,0
52,node1,36.24,1
53,node1,277.3,0
54,node1,276.42,0
55,node1,276.85,0
56,node1,277.32,0
57,node1,277.71,0
58,node1,276.86,0
59,node1,277.29,0
60,node1,276.85,0
61,node1,277.7,0
62,node1,26.45,1
63,node1,28.51,1
64,node1,28.82,1
65,node1,29.67,1
66,node1,29.92,1
67,node1,24.7,1
68,node1,29.67,1
69,node1,24.68,1
70,node1,25.28,1
71,node1,19.72,1
72,node1,23.22,1
73,node1,33.34,1
74,node1,9.42,0
75,node1,4.23,0
76,node1,2.96,0
77,node1,26.74,1
78,node1,35.21,1
79,node1,30.46,1
80,node1,35.73,1
81,node1,34.41,1
82,node1,31.25,1
83,node1,35.46,1
84,node1,29.65,1
85,node1,29.38,1
86,node1,33.88,1
87,node1,30.7,1
88,node1,20.69,1
89,node1,19.72,1
90,node1,36.24,1
91,node1,21.67,1
92,node1,36.94,1
93,node1,37.64,1
94,node1,27.64,1
95,node1,32.28,1
96,node1,28.82,1
97,node1,36.24,1
98,node1,24.7,1
99,node1,32.3,1
100,node1,21.01,1
101,node1,30.72,1
102,node1,32.83,1
103,node1,27.34,1
104,node1,31.76,1
105,node1,32.03,1
106,node1,10.42,0
107,node1,29.92,1
108,node1,30.97,1
109,node1,30.72,1
110,node1,31.23,1
111,node1,28.51,1
112,node1,40.9,0
113,node1,38.1,1
114,node1,31.77,1
115,node1,29.65,1
116,node1,36.94,1
117,node1,39.27,1
118,node1,27.34,1
119,node1,36.47,1
120,node1,28.2,1
121,node1,29.1,1
122,node1,36.24,1
123,node1,29.39,1
124,node1,28.22,1
125,node1,27.05,1
126,node1,36.47,1
127,node1,27.62,1
128,node1,50.49,0
129,node1,36.72,1
130,node1,36.7,1
131,node1,35.17,1
132,node1,37.64,1
133,node1,36.94,1
134,node1,29.39,1
135,node1,34.66,1
136,node1,34.14,1
137,node1,24.68,1
138,node1,32.3,1
139,node1,29.65,1
140,node1,27.34,1
141,node1,36.47,1
142,node1,32.03,1
143,node1,37.4,1
144,node1,38.81,1
145,node1,36.47,1
146,node1,36.7,1
147,node1,36.47,1
148,node1,21.01,1
149,node1,20.03,1
150,node1,21.32,1
151,node1,10.74,0
152,node1,21.0,1
153,node1,24.07,1
154,node1,22.9,1
155,node1,29.63,1
156,node1,24.65,1
157,node1,26.42,1
158,node1,26.42,1
159,node1,24.07,1
160,node1,25.53,1
161,node1,24.65,1
162,node1,20.67,1
163,node1,25.25,1
164,node1,37.37,1
165,node1,23.78,1
166,node1,25.53,1
167,node1,21.0,1
168,node1,20.01,1
169,node1,27.01,1
170,node1,24.07,1
171,node1,24.36,1
172,node1,22.61,1
173,node1,21.64,1
174,node1,25.82,1
175,node1,30.14,1
176,node1,18.73,1
177,node1,14.79,0
178,node1,21.0,1
179,node1,24.07,1
180,node1,25.84,1
181,node1,24.67,1
182,node1,26.13,1
183,node1,22.9,1
184,node1,38.28,1
185,node1,37.13,1
186,node1,274.79,0
187,node1,25.25,1
188,node1,25.84,1
189,node1,36.21,1
190,node1,29.63,1
191,node1,36.21,1
192,node1,25.84,1
193,node1,23.2,1
194,node1,30.16,1
195,node1,28.19,1
196,node1,29.89,1
197,node1,26.72,1
198,node1,25.82,1
199,node1,26.72,1
200,node1,26.4,1
201,node1,25.82,1
202,node1,26.43,1
203,node1,22.92,1
204,node1,27.59,1
205,node1,30.16,1
206,node1,26.43,1
207,node1,27.01,1
208,node1,25.26,1
209,node1,27.3,1
210,node1,27.01,1
211,node1,20.03,1
212,node1,25.55,1
213,node1,29.63,1
214,node1,24.38,1
215,node1,24.96,1
216,node1,23.78,1
217,node1,20.03,1
218,node1,22.29,1
219,node1,22.9,1
220,node1,24.97,1
221,node1,24.09,1
222,node1,29.63,1
223,node1,24.96,1
224,node1,26.15,1
225,node1,20.67,1
226,node1,26.13,1
